"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or More Races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec","RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya","RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation","RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community","RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races","RACE!!Total population!!Two or More Races!!White and Black or African American","RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!White and Asian","RACE!!Total population!!Two or More Races!!White and Some Other Race","RACE!!Total population!!Two or More Races!!Black or African American and American Indian and Alaska Native","RACE!!Total population!!Two or More Races!!Black or African American and Some Other Race","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some Other Race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races including Some Other Race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races excluding Some Other Race, and three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Baldwin County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","253,507","124,518","128,989","96.5","11,654","13,866","17,913","14,003","11,219","28,288","31,849","32,761","15,844","19,448","33,520","18,132","5,010","44.3","53,103","206,994","200,404","194,211","68,598","56,662","200,404","96,162","104,242","92.2","56,662","25,686","30,976","82.9","","253,507","239,104","14,403","239,104","208,150","20,974","952","N","N","N","N","N","N","N","3,074","N","N","N","N","N","N","N","395","N","N","N","N","5,559","14,403","1,676","2,276","1,023","9,154","0","0","","253,507","222,553","22,718","3,296","4,174","N","14,746","","253,507","14,658","5,198","907","1,167","7,386","238,849","204,823","20,974","952","3,038","358","181","8,523","3,551","4,972","135,673","","194,664","93,636","101,028"
"    Margin of Error","","*****","±799","±799","±1.2","±949","±2,563","±2,677","±775","±855","±1,254","±1,855","±1,863","±2,339","±2,100","±1,242","±1,360","±1,321","±0.7","±80","±1,045","±80","±822","±2,215","±1,367","±80","±577","±578","±1.1","±1,367","±715","±944","±2.8","","*****","±2,951","±2,951","±2,951","±2,451","±1,091","±548","N","N","N","N","N","N","N","±675","N","N","N","N","N","N","N","±557","N","N","N","N","±2,001","±2,951","±844","±550","±708","±2,495","±210","±210","","*****","±2,674","±623","±131","±317","N","±2,486","","*****","*****","±1,828","±853","±738","±1,892","*****","±1,757","±1,091","±548","±674","±549","±192","±2,098","±1,695","±1,341","±58","","±1,835","±1,039","±1,172"
"    Percent","","253,507","49.1%","50.9%","(X)","4.6%","5.5%","7.1%","5.5%","4.4%","11.2%","12.6%","12.9%","6.2%","7.7%","13.2%","7.2%","2.0%","(X)","20.9%","81.7%","79.1%","76.6%","27.1%","22.4%","200,404","48.0%","52.0%","(X)","56,662","45.3%","54.7%","(X)","","253,507","94.3%","5.7%","94.3%","82.1%","8.3%","0.4%","N","N","N","N","N","N","N","1.2%","N","N","N","N","N","N","N","0.2%","N","N","N","N","2.2%","5.7%","0.7%","0.9%","0.4%","3.6%","0.0%","0.0%","","253,507","87.8%","9.0%","1.3%","1.6%","N","5.8%","","253,507","5.8%","2.1%","0.4%","0.5%","2.9%","94.2%","80.8%","8.3%","0.4%","1.2%","0.1%","0.1%","3.4%","1.4%","2.0%","(X)","","194,664","48.1%","51.9%"
"    Percent Margin of Error","","(X)","±0.3","±0.3","(X)","±0.4","±1.0","±1.1","±0.3","±0.3","±0.5","±0.7","±0.7","±0.9","±0.8","±0.5","±0.5","±0.5","(X)","±0.1","±0.4","±0.1","±0.3","±0.9","±0.5","(X)","±0.3","±0.3","(X)","(X)","±0.8","±0.8","(X)","","(X)","±1.2","±1.2","±1.2","±1.0","±0.4","±0.2","N","N","N","N","N","N","N","±0.3","N","N","N","N","N","N","N","±0.2","N","N","N","N","±0.8","±1.2","±0.3","±0.2","±0.3","±1.0","±0.1","±0.1","","(X)","±1.1","±0.2","±0.1","±0.1","N","±1.0","","(X)","*****","±0.7","±0.3","±0.3","±0.7","*****","±0.7","±0.4","±0.2","±0.3","±0.2","±0.1","±0.8","±0.7","±0.5","(X)","","(X)","±0.3","±0.3"
"Calhoun County, Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","116,429","56,185","60,244","93.3","6,157","6,728","7,009","9,392","8,723","13,384","13,805","14,617","7,465","6,966","13,739","5,627","2,817","40.5","24,510","95,233","91,919","85,353","26,080","22,183","91,919","43,509","48,410","89.9","22,183","9,302","12,881","72.2","","116,429","111,887","4,542","111,887","83,530","25,351","342","N","N","N","N","N","N","N","1,236","N","N","N","N","N","N","N","0","N","N","N","N","1,428","4,542","1,562","746","109","1,060","27","638","","116,429","87,198","27,804","1,479","1,429","N","3,335","","116,429","5,540","N","N","N","N","110,889","80,568","25,351","275","1,236","0","47","3,412","938","2,474","53,543","","90,573","42,741","47,832"
"    Margin of Error","","*****","±642","±642","±2.1","±223","±950","±1,016","±1,148","±1,404","±1,087","±1,289","±1,250","±1,069","±1,073","±472","±685","±680","±0.9","±247","±448","±247","±1,005","±1,063","±535","±247","±450","±446","±1.7","±535","±263","±468","±3.3","","*****","±1,313","±1,313","±1,313","±1,227","±916","±228","N","N","N","N","N","N","N","±231","N","N","N","N","N","N","N","±210","N","N","N","N","±857","±1,313","±824","±194","±138","±588","±48","±596","","*****","±1,442","±531","±439","±210","N","±1,295","","*****","*****","N","N","N","N","*****","±462","±916","±194","±231","±210","±57","±1,095","±692","±841","±126","","±668","±556","±500"
"    Percent","","116,429","48.3%","51.7%","(X)","5.3%","5.8%","6.0%","8.1%","7.5%","11.5%","11.9%","12.6%","6.4%","6.0%","11.8%","4.8%","2.4%","(X)","21.1%","81.8%","78.9%","73.3%","22.4%","19.1%","91,919","47.3%","52.7%","(X)","22,183","41.9%","58.1%","(X)","","116,429","96.1%","3.9%","96.1%","71.7%","21.8%","0.3%","N","N","N","N","N","N","N","1.1%","N","N","N","N","N","N","N","0.0%","N","N","N","N","1.2%","3.9%","1.3%","0.6%","0.1%","0.9%","0.0%","0.5%","","116,429","74.9%","23.9%","1.3%","1.2%","N","2.9%","","116,429","4.8%","N","N","N","N","95.2%","69.2%","21.8%","0.2%","1.1%","0.0%","0.0%","2.9%","0.8%","2.1%","(X)","","90,573","47.2%","52.8%"
"    Percent Margin of Error","","(X)","±0.6","±0.6","(X)","±0.2","±0.8","±0.9","±1.0","±1.2","±0.9","±1.1","±1.1","±0.9","±0.9","±0.4","±0.6","±0.6","(X)","±0.2","±0.4","±0.2","±0.9","±0.9","±0.5","(X)","±0.5","±0.5","(X)","(X)","±1.1","±1.1","(X)","","(X)","±1.1","±1.1","±1.1","±1.1","±0.8","±0.2","N","N","N","N","N","N","N","±0.2","N","N","N","N","N","N","N","±0.2","N","N","N","N","±0.7","±1.1","±0.7","±0.2","±0.1","±0.5","±0.1","±0.5","","(X)","±1.2","±0.5","±0.4","±0.2","N","±1.1","","(X)","*****","N","N","N","N","*****","±0.4","±0.8","±0.2","±0.2","±0.2","±0.1","±0.9","±0.6","±0.7","(X)","","(X)","±0.5","±0.5"
