Region,10/2024
"Abbeville County, SC",173
"Acadia Parish, LA",122
"Accomack County, VA",184
"Ada County, ID",281
"Adair County, IA",137
"Adair County, KY",102
"Adair County, MO",112
"Adair County, OK",132
"Adams County, CO",243
"Adams County, IA",78
"Adams County, ID",253
"Adams County, IL",95
"Adams County, IN",110
"Adams County, MS",105
"Adams County, NE",98
"Adams County, OH",123
"Adams County, PA",165
"Adams County, WA",160
"Adams County, WI",148
"Addison County, VT",275
"Aiken County, SC",163
"Aitkin County, MN",224
"Alachua County, FL",193
"Alamance County, NC",181
"Alameda County, CA",700
"Alamosa County, CO",214
"Albany County, NY",207
"Albany County, WY",196
"Albemarle County, VA",241
"Alcona County, MI",156
"Alcorn County, MS",109
"Aleutians West Census Area, AK",219
"Alexander County, IL",54
"Alexander County, NC",211
"Alexandria, VA",434
"Alger County, MI",153
"Allamakee County, IA",126
"Allegan County, MI",212
"Allegany County, MD",101
"Allegany County, NY",74
"Alleghany County, NC",208
"Alleghany County, VA",94
"Allegheny County, PA",173
"Allen County, IN",143
"Allen County, KS",95
"Allen County, KY",137
"Allen County, OH",118
"Allen Parish, LA",69
"Allendale County, SC",43
"Alpena County, MI",102
"Alpine County, CA",343
"Amador County, CA",267
"Amelia County, VA",210
"Amherst County, VA",151
"Amite County, MS",103
"Anchorage Borough, AK",237
"Anderson County, KS",73
"Anderson County, KY",170
"Anderson County, SC",166
"Anderson County, TN",196
"Anderson County, TX",132
"Andrew County, MO",120
"Andrews County, TX",151
"Androscoggin County, ME",196
"Angelina County, TX",152
"Anne Arundel County, MD",253
"Anoka County, MN",189
"Anson County, NC",140
"Antrim County, MI",227
"Apache County, AZ",231
"Appanoose County, IA",76
"Appling County, GA",141
"Appomattox County, VA",195
"Aransas County, TX",233
"Arapahoe County, CO",251
"Archer County, TX",119
"Archuleta County, CO",367
"Arenac County, MI",146
"Arkansas County, AR",46
"Arlington County, VA",476
"Armstrong County, PA",92
"Armstrong County, TX",111
"Aroostook County, ME",123
"Ascension Parish, LA",173
"Ashe County, NC",235
"Ashland County, OH",155
"Ashland County, WI",97
"Ashley County, AR",66
"Ashtabula County, OH",147
"Asotin County, WA",219
"Assumption Parish, LA",97
"Atascosa County, TX",161
"Atchison County, KS",119
"Atchison County, MO",79
"Athens County, OH",120
"Atlantic County, NJ",232
"Atoka County, OK",124
"Attala County, MS",79
"Audrain County, MO",121
"Audubon County, IA",123
"Auglaize County, OH",132
"Augusta County, VA",194
"Aurora County, SD",110
"Austin County, TX",170
"Autauga County, AL",146
"Avery County, NC",316
"Avoyelles Parish, LA",71
"Baca County, CO",30
"Bacon County, GA",57
"Bailey County, TX",90
"Baker County, FL",211
"Baker County, OR",174
